Time,Temp,RH,,RHcrit,Mmax,k1,k2,Growth,Growth,dryTime,Recession,M,M
0,14.95,68.5533,,,,,,,,,,,0
1,14.4368,68.4831,,80.1,0,0.578,0,2.54E-05,0,1,-0.001333333,-0.001333333,0
2,14.1657,68.4475,,80.2,0,0.578,0,2.49E-05,0,2,-0.001333333,-0.001333333,0
3,13.9691,68.4309,,80.2,0,0.578,0,2.46E-05,0,3,-0.001333333,-0.001333333,0
4,13.8041,68.4534,,80.3,0,0.578,0,2.45E-05,0,4,-0.001333333,-0.001333333,0
5,13.6524,68.5476,,80.3,0,0.578,0,2.48E-05,0,5,-0.001333333,-0.001333333,0
6,13.5089,68.73,,80.3,0,0.578,0,2.56E-05,0,6,-0.001333333,-0.001333333,0
7,13.3745,68.9944,,80.4,0,0.578,0,2.68E-05,0,7,0,0,0
8,13.2534,69.324,,80.4,0,0.578,0,2.84E-05,0,8,0,0,0
9,13.1504,69.7002,,80.4,0,0.578,0,3.05E-05,0,9,0,0,0
10,13.0696,70.1082,,80.5,0,0.578,0,3.29E-05,0,10,0,0,0
11,13.0132,70.5356,,80.5,0,0.578,0,3.57E-05,0,11,0,0,0
12,12.9792,70.9732,,80.5,0,0.578,0,3.89E-05,0,12,0,0,0
13,12.9567,71.4136,,80.5,0,0.578,0,4.23E-05,0,13,0,0,0
14,12.9355,71.8507,,80.5,0,0.578,0,4.60E-05,0,14,0,0,0
15,12.9272,72.283,,80.5,0,0.578,0,5.00E-05,0,15,0,0,0
16,12.9688,72.7133,,80.5,0,0.578,0,5.44E-05,0,16,0,0,0
17,13.0928,73.1448,,80.5,0,0.578,0,5.95E-05,0,17,0,0,0
18,13.3059,73.5786,,80.4,0,0.578,0,6.53E-05,0,18,0,0,0
19,13.5888,74.0128,,80.3,0,0.578,0,7.19E-05,0,19,0,0,0
20,13.9042,74.4422,,80.2,0,0.578,0,7.91E-05,0,20,0,0,0
21,14.2044,74.8604,,80.2,0,0.578,0,8.68E-05,0,21,0,0,0
22,14.4461,75.2625,,80.1,0,0.578,0,9.45E-05,0,22,0,0,0
23,14.6094,75.6451,,80.1,0,0.578,0,0.000102229,0,23,0,0,0
24,14.697,76.0062,,80.1,0,0.578,0,0.00010967,0,24,0,0,0
25,14.7216,76.3488,,80.1,0,0.578,0,0.000116877,0,25,-0.000666667,-0.000666667,0
26,14.6975,76.6729,,80.1,0,0.578,0,0.000123827,0,26,-0.000666667,-0.000666667,0
27,14.6372,76.9795,,80.1,0,0.578,0,0.000130525,0,27,-0.000666667,-0.000666667,0
28,14.5508,77.2737,,80.1,0,0.578,0,0.00013708,0,28,-0.000666667,-0.000666667,0
29,14.4466,77.5557,,80.1,0,0.578,0,0.000143496,0,29,-0.000666667,-0.000666667,0
30,14.3312,77.8264,,80.1,0,0.578,0,0.000149798,0,30,-0.000666667,-0.000666667,0
31,14.2101,78.0889,,80.2,0,0.578,0,0.000156073,0,31,-0.000666667,-0.000666667,0
32,14.0897,78.3418,,80.2,0,0.578,0,0.000162305,0,32,-0.000666667,-0.000666667,0
33,13.977,78.5884,,80.2,0,0.578,0,0.000168629,0,33,-0.000666667,-0.000666667,0
34,13.8798,78.8294,,80.2,0,0.578,0,0.000175128,0,34,-0.000666667,-0.000666667,0
35,13.8058,79.0684,,80.3,0,0.578,0,0.000181992,0,35,-0.000666667,-0.000666667,0
36,13.7619,79.299,,80.3,0,0.578,0.00626395,0.0001891,6.85E-07,36,-0.000666667,-0.000666667,0
37,13.7539,79.5238,,80.3,0.1,0.578,0.151556665,0.000196611,1.72E-05,37,-0.000666667,-0.000666667,0
38,13.7868,79.7481,,80.3,0.1,0.578,0.28013873,0.000204794,3.32E-05,38,-0.000666667,-0.000666667,0
39,13.8646,79.9727,,80.2,0.2,0.578,0.393423535,0.000213775,4.86E-05,39,-0.000666667,-0.000666667,0
